,BHK,Rent,Size,City,Furnishing Status,Tenant Preferred,Bathroom
57,1,10000,435,Kolkata,Unfurnished,Bachelors/Family,1
58,2,7000,700,Kolkata,Semi-Furnished,Bachelors/Family,2
59,2,22000,800,Kolkata,Furnished,Bachelors/Family,1
60,2,6500,450,Kolkata,Unfurnished,Bachelors/Family,1
61,2,8500,550,Kolkata,Semi-Furnished,Bachelors/Family,1
62,2,18000,800,Kolkata,Unfurnished,Bachelors,2
63,2,12000,550,Kolkata,Semi-Furnished,Family,2
64,1,9000,600,Kolkata,Furnished,Bachelors/Family,1
65,1,6000,500,Kolkata,Unfurnished,Bachelors/Family,1
66,2,20000,1000,Kolkata,Furnished,Bachelors/Family,2
67,2,12000,1200,Kolkata,Furnished,Bachelors/Family,2
68,2,10000,500,Kolkata,Semi-Furnished,Bachelors/Family,1
69,4,18000,1200,Kolkata,Unfurnished,Family,2
70,2,15000,900,Kolkata,Semi-Furnished,Bachelors/Family,2
71,3,22000,1300,Kolkata,Unfurnished,Bachelors/Family,3
72,4,35000,1600,Kolkata,Unfurnished,Bachelors/Family,3
73,3,21000,1450,Kolkata,Unfurnished,Family,2
74,2,25000,1100,Kolkata,Furnished,Bachelors,2
75,1,6000,600,Kolkata,Unfurnished,Bachelors/Family,1
76,2,14000,700,Kolkata,Unfurnished,Bachelors/Family,2
77,3,8000,750,Kolkata,Unfurnished,Family,1
78,2,8000,1000,Kolkata,Unfurnished,Bachelors/Family,1
79,1,20000,700,Kolkata,Semi-Furnished,Bachelors/Family,1
80,3,12000,800,Kolkata,Unfurnished,Bachelors/Family,2
81,3,15000,1600,Kolkata,Unfurnished,Bachelors/Family,2
82,2,14000,1000,Kolkata,Unfurnished,Bachelors/Family,2
83,2,7000,400,Kolkata,Unfurnished,Bachelors/Family,1
84,3,14000,840,Kolkata,Unfurnished,Bachelors,2
85,2,13000,550,Kolkata,Furnished,Bachelors/Family,2
86,2,8000,800,Kolkata,Unfurnished,Bachelors/Family,2
87,2,10000,740,Kolkata,Unfurnished,Bachelors,1
88,2,18000,1300,Kolkata,Unfurnished,Bachelors/Family,2
89,2,8000,650,Kolkata,Semi-Furnished,Bachelors/Family,1
90,2,8000,490,Kolkata,Semi-Furnished,Bachelors/Family,1
91,2,16000,750,Kolkata,Unfurnished,Bachelors/Family,2
92,2,14000,751,Kolkata,Unfurnished,Bachelors,1
93,2,9000,900,Kolkata,Semi-Furnished,Bachelors,1
94,2,17500,1000,Kolkata,Semi-Furnished,Bachelors/Family,2
95,2,8500,1000,Kolkata,Unfurnished,Bachelors/Family,1
96,3,15000,1500,Kolkata,Semi-Furnished,Family,2
97,2,12500,750,Kolkata,Unfurnished,Bachelors/Family,2
98,1,13000,1200,Kolkata,Semi-Furnished,Bachelors/Family,1
99,2,8000,700,Kolkata,Unfurnished,Bachelors/Family,1
100,2,8000,700,Kolkata,Furnished,Bachelors/Family,1
101,2,8000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1
102,2,7000,1200,Kolkata,Unfurnished,Bachelors/Family,2
103,2,8000,800,Kolkata,Unfurnished,Bachelors,1
104,3,20000,1100,Kolkata,Unfurnished,Bachelors/Family,3
105,2,7000,950,Kolkata,Unfurnished,Bachelors/Family,1
106,3,20000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2
107,2,7000,650,Kolkata,Unfurnished,Bachelors/Family,1
108,2,7000,700,Kolkata,Unfurnished,Bachelors,1
109,3,12000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2
110,2,14500,900,Kolkata,Unfurnished,Bachelors,2
111,1,6000,700,Kolkata,Unfurnished,Bachelors/Family,1
112,2,9500,700,Kolkata,Unfurnished,Bachelors/Family,2
113,2,10000,450,Kolkata,Semi-Furnished,Bachelors/Family,2
114,2,9000,800,Kolkata,Semi-Furnished,Bachelors/Family,2
115,3,40000,1220,Kolkata,Unfurnished,Bachelors/Family,2
116,3,16500,1100,Kolkata,Unfurnished,Bachelors/Family,1
117,3,8000,700,Kolkata,Unfurnished,Family,2
118,2,12000,800,Kolkata,Furnished,Bachelors/Family,1
119,2,6500,670,Kolkata,Unfurnished,Family,1
120,4,40000,1300,Kolkata,Unfurnished,Bachelors/Family,3
121,2,9000,700,Kolkata,Semi-Furnished,Bachelors/Family,1
122,2,18000,850,Kolkata,Semi-Furnished,Family,1
123,1,9000,950,Kolkata,Unfurnished,Bachelors/Family,2
124,2,7500,800,Kolkata,Unfurnished,Bachelors,1
125,3,10500,800,Kolkata,Unfurnished,Bachelors,2
126,3,15000,1100,Kolkata,Unfurnished,Bachelors/Family,2
127,2,15000,800,Kolkata,Furnished,Bachelors/Family,1
128,2,12000,950,Kolkata,Unfurnished,Bachelors,2
129,2,11000,550,Kolkata,Unfurnished,Bachelors/Family,1
130,2,8000,1000,Kolkata,Furnished,Bachelors/Family,1
131,2,18000,600,Kolkata,Semi-Furnished,Bachelors/Family,2
132,2,8000,750,Kolkata,Semi-Furnished,Bachelors/Family,2
133,2,7000,685,Kolkata,Unfurnished,Bachelors/Family,1
134,4,13000,1200,Kolkata,Unfurnished,Bachelors/Family,1
135,2,9000,500,Kolkata,Unfurnished,Bachelors,1
136,4,10000,1110,Kolkata,Unfurnished,Bachelors/Family,2
137,2,12000,1000,Kolkata,Unfurnished,Bachelors/Family,2
138,2,6000,700,Kolkata,Unfurnished,Bachelors/Family,1
139,3,15000,1500,Kolkata,Unfurnished,Family,2
140,2,9000,900,Kolkata,Unfurnished,Bachelors/Family,2
141,1,24000,710,Kolkata,Furnished,Bachelors,1
142,1,10000,700,Kolkata,Unfurnished,Bachelors,1
143,2,15000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1
144,3,15000,1400,Kolkata,Unfurnished,Bachelors/Family,1
145,3,18000,1200,Kolkata,Semi-Furnished,Bachelors/Family,1
146,2,8000,450,Kolkata,Unfurnished,Bachelors,1
147,1,13000,500,Kolkata,Furnished,Bachelors,1
148,2,7500,400,Kolkata,Unfurnished,Bachelors/Family,1
149,3,12000,1000,Kolkata,Unfurnished,Bachelors/Family,2
150,2,11000,750,Kolkata,Unfurnished,Bachelors,1
151,1,6000,450,Kolkata,Unfurnished,Family,1
152,3,20000,1000,Kolkata,Unfurnished,Bachelors,2
153,2,7000,500,Kolkata,Unfurnished,Bachelors,2
154,4,30000,1600,Kolkata,Unfurnished,Bachelors,2
155,2,7500,550,Kolkata,Unfurnished,Bachelors,1
156,1,6500,550,Kolkata,Unfurnished,Bachelors/Family,2
157,2,25000,1000,Kolkata,Furnished,Bachelors/Family,2
158,2,12500,680,Kolkata,Unfurnished,Bachelors/Family,2
159,2,8500,720,Kolkata,Unfurnished,Bachelors/Family,2
160,2,7000,800,Kolkata,Unfurnished,Bachelors/Family,1
161,2,14000,1200,Kolkata,Unfurnished,Bachelors/Family,2
162,1,18000,700,Kolkata,Furnished,Bachelors/Family,1
163,2,16000,1250,Kolkata,Unfurnished,Bachelors/Family,2
164,2,21000,700,Kolkata,Semi-Furnished,Bachelors/Family,1
165,2,15000,839,Kolkata,Semi-Furnished,Bachelors/Family,2
166,2,8500,800,Kolkata,Unfurnished,Bachelors/Family,2
167,2,8500,620,Kolkata,Unfurnished,Bachelors,1
168,2,9000,650,Kolkata,Unfurnished,Bachelors/Family,1
169,1,7500,550,Kolkata,Semi-Furnished,Bachelors/Family,1
170,2,7000,450,Kolkata,Furnished,Bachelors,2
171,3,15000,1350,Kolkata,Unfurnished,Family,2
172,2,7000,600,Kolkata,Semi-Furnished,Bachelors/Family,2
173,3,10000,1200,Kolkata,Furnished,Bachelors/Family,1
174,2,7000,700,Kolkata,Unfurnished,Bachelors/Family,1
175,2,12000,900,Kolkata,Unfurnished,Bachelors/Family,2
176,2,6000,750,Kolkata,Unfurnished,Bachelors/Family,1
177,3,10000,1250,Kolkata,Unfurnished,Bachelors/Family,2
178,3,12000,1000,Kolkata,Semi-Furnished,Bachelors/Family,3
179,2,8000,600,Kolkata,Semi-Furnished,Bachelors/Family,1
180,3,8500,800,Kolkata,Unfurnished,Bachelors/Family,2
181,3,22000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2
182,3,25000,1400,Kolkata,Furnished,Bachelors,3
183,2,7000,600,Kolkata,Semi-Furnished,Bachelors,1
184,2,15000,723,Kolkata,Furnished,Family,1
185,2,8000,900,Kolkata,Semi-Furnished,Bachelors/Family,1
186,3,40000,1400,Kolkata,Furnished,Bachelors/Family,2
187,2,15000,650,Kolkata,Semi-Furnished,Bachelors/Family,1
188,2,6500,800,Kolkata,Semi-Furnished,Bachelors/Family,1
189,3,8000,800,Kolkata,Semi-Furnished,Bachelors/Family,1
190,1,15000,505,Kolkata,Furnished,Bachelors/Family,1
191,3,30000,1250,Kolkata,Unfurnished,Bachelors/Family,2
192,2,15000,900,Kolkata,Unfurnished,Bachelors,1
193,1,6500,650,Kolkata,Semi-Furnished,Bachelors/Family,1
194,2,7000,450,Kolkata,Unfurnished,Bachelors/Family,1
195,1,17500,480,Kolkata,Furnished,Bachelors,2
196,2,10000,900,Kolkata,Unfurnished,Bachelors/Family,1
197,3,25000,1100,Kolkata,Unfurnished,Bachelors/Family,3
198,2,12000,800,Kolkata,Unfurnished,Bachelors/Family,1
199,3,7500,1000,Kolkata,Furnished,Bachelors/Family,2
200,1,7000,800,Kolkata,Unfurnished,Bachelors/Family,1
201,3,10000,1190,Kolkata,Unfurnished,Bachelors/Family,2
202,2,14000,900,Kolkata,Unfurnished,Bachelors,2
203,2,15000,1500,Kolkata,Unfurnished,Bachelors/Family,2
204,2,6500,600,Kolkata,Unfurnished,Bachelors/Family,1
205,3,10000,800,Kolkata,Unfurnished,Bachelors/Family,1
206,2,10500,800,Kolkata,Unfurnished,Family,2
207,3,10000,900,Kolkata,Semi-Furnished,Bachelors/Family,2
208,2,9000,800,Kolkata,Unfurnished,Bachelors/Family,1
209,2,20000,1600,Kolkata,Unfurnished,Bachelors,2
210,3,35000,1012,Kolkata,Semi-Furnished,Bachelors/Family,2
211,3,15000,1200,Kolkata,Unfurnished,Bachelors,2
212,2,20000,700,Kolkata,Furnished,Bachelors/Family,1
213,2,12000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1
214,3,20000,1200,Kolkata,Semi-Furnished,Bachelors,2
215,1,9000,450,Kolkata,Unfurnished,Bachelors,1
216,3,13000,950,Kolkata,Unfurnished,Bachelors/Family,2
217,1,9000,450,Kolkata,Unfurnished,Bachelors/Family,1
218,1,9000,550,Kolkata,Semi-Furnished,Bachelors,1
219,3,15000,1250,Kolkata,Semi-Furnished,Bachelors/Family,2
220,3,8000,812,Kolkata,Unfurnished,Bachelors/Family,2
221,2,8000,550,Kolkata,Unfurnished,Bachelors/Family,1
222,3,12000,1100,Kolkata,Unfurnished,Bachelors,1
223,2,8500,700,Kolkata,Semi-Furnished,Bachelors/Family,2
224,3,16000,1200,Kolkata,Unfurnished,Bachelors/Family,2
225,2,14000,800,Kolkata,Unfurnished,Bachelors/Family,2
226,1,8000,600,Kolkata,Furnished,Bachelors/Family,1
227,1,6500,400,Kolkata,Unfurnished,Bachelors/Family,1
228,3,30000,1600,Kolkata,Unfurnished,Bachelors/Family,2
229,2,14000,1100,Kolkata,Semi-Furnished,Bachelors/Family,2
230,2,7200,830,Kolkata,Unfurnished,Bachelors/Family,1
231,1,7000,500,Kolkata,Unfurnished,Bachelors,2
232,2,7500,900,Kolkata,Unfurnished,Bachelors/Family,1
233,2,8500,1250,Kolkata,Unfurnished,Family,2
234,2,12000,700,Kolkata,Unfurnished,Bachelors,1
235,1,8500,850,Kolkata,Unfurnished,Bachelors,2
236,2,9500,550,Kolkata,Unfurnished,Bachelors/Family,1
237,2,7500,550,Kolkata,Furnished,Bachelors/Family,2
238,2,12000,1200,Kolkata,Unfurnished,Bachelors/Family,1
239,3,20000,1100,Kolkata,Unfurnished,Bachelors,2
240,2,8500,650,Kolkata,Semi-Furnished,Bachelors/Family,1
241,3,20000,1050,Kolkata,Unfurnished,Bachelors,2
242,2,6000,960,Kolkata,Semi-Furnished,Bachelors/Family,2
243,1,7000,550,Kolkata,Semi-Furnished,Bachelors/Family,1
244,2,7000,500,Kolkata,Semi-Furnished,Bachelors/Family,2
245,1,6500,450,Kolkata,Unfurnished,Family,1
246,2,10000,850,Kolkata,Unfurnished,Bachelors,2
247,2,13000,1000,Kolkata,Semi-Furnished,Bachelors/Family,3
248,2,7000,500,Kolkata,Unfurnished,Bachelors/Family,1
249,2,12000,756,Kolkata,Semi-Furnished,Bachelors/Family,1
250,1,15000,1000,Kolkata,Unfurnished,Bachelors/Family,1
251,1,8000,800,Kolkata,Unfurnished,Bachelors,1
252,2,8000,700,Kolkata,Unfurnished,Bachelors,2
253,2,10000,800,Kolkata,Unfurnished,Bachelors,1
254,2,8000,900,Kolkata,Unfurnished,Bachelors/Family,2
255,2,21000,850,Kolkata,Unfurnished,Bachelors,2
256,2,9000,600,Kolkata,Unfurnished,Bachelors/Family,1
257,2,8000,1600,Kolkata,Semi-Furnished,Bachelors,1
258,2,7000,986,Kolkata,Unfurnished,Bachelors,1
259,3,35000,1330,Kolkata,Unfurnished,Bachelors,2
260,3,15000,1300,Kolkata,Semi-Furnished,Bachelors/Family,2
261,2,6200,800,Kolkata,Unfurnished,Bachelors,1
262,2,9900,800,Kolkata,Unfurnished,Bachelors/Family,1
263,2,7000,850,Kolkata,Unfurnished,Bachelors,1
264,2,6500,800,Kolkata,Furnished,Bachelors/Family,1
265,4,40000,1500,Kolkata,Unfurnished,Bachelors,2
266,2,12000,957,Kolkata,Furnished,Bachelors,2
267,1,6500,850,Kolkata,Unfurnished,Bachelors,1
268,2,10000,900,Kolkata,Unfurnished,Bachelors,2
269,2,15000,600,Kolkata,Semi-Furnished,Bachelors/Family,1
270,3,15000,800,Kolkata,Unfurnished,Bachelors/Family,1
271,2,10000,700,Kolkata,Semi-Furnished,Bachelors,2
272,2,22000,1200,Kolkata,Semi-Furnished,Bachelors/Family,2
273,2,8500,750,Kolkata,Semi-Furnished,Bachelors/Family,1
274,3,35000,1200,Kolkata,Semi-Furnished,Bachelors/Family,3
275,3,8500,1430,Kolkata,Semi-Furnished,Bachelors/Family,1
276,2,6000,450,Kolkata,Unfurnished,Bachelors/Family,1
277,4,35000,800,Kolkata,Semi-Furnished,Bachelors/Family,3
278,1,6000,400,Kolkata,Unfurnished,Bachelors/Family,1
279,2,8000,650,Kolkata,Unfurnished,Bachelors/Family,1
280,2,6000,600,Kolkata,Unfurnished,Bachelors/Family,1
281,3,15000,1200,Kolkata,Unfurnished,Family,2
282,2,9000,700,Kolkata,Unfurnished,Bachelors,1
283,3,8000,1200,Kolkata,Unfurnished,Bachelors/Family,3
284,3,35000,1300,Kolkata,Unfurnished,Bachelors,2
285,3,35000,1320,Kolkata,Unfurnished,Bachelors,2
286,2,11000,1000,Kolkata,Furnished,Bachelors/Family,2
287,2,10000,700,Kolkata,Unfurnished,Bachelors,1
288,2,6500,800,Kolkata,Unfurnished,Bachelors/Family,2
289,2,6000,900,Kolkata,Furnished,Bachelors/Family,1
290,2,6800,600,Kolkata,Unfurnished,Bachelors,1
291,2,8500,850,Kolkata,Unfurnished,Family,2
292,1,6500,650,Kolkata,Furnished,Bachelors/Family,1
293,1,6500,800,Kolkata,Unfurnished,Bachelors/Family,1
294,1,10000,400,Kolkata,Unfurnished,Bachelors/Family,1
295,1,12000,500,Kolkata,Furnished,Bachelors/Family,1
296,2,12000,550,Kolkata,Unfurnished,Bachelors/Family,1
297,2,9000,1000,Kolkata,Furnished,Bachelors/Family,2
298,2,8500,1100,Kolkata,Unfurnished,Bachelors/Family,2
299,2,23000,1100,Kolkata,Unfurnished,Bachelors,2
300,2,8500,780,Kolkata,Unfurnished,Bachelors,1
301,3,22000,1100,Kolkata,Semi-Furnished,Bachelors/Family,2
302,1,7000,500,Kolkata,Semi-Furnished,Bachelors/Family,2
303,2,6500,550,Kolkata,Unfurnished,Bachelors/Family,1
304,2,8000,600,Kolkata,Unfurnished,Bachelors/Family,1
305,2,6000,500,Kolkata,Semi-Furnished,Bachelors/Family,1
306,2,10000,1050,Kolkata,Unfurnished,Bachelors/Family,2
307,3,10000,1000,Kolkata,Unfurnished,Bachelors,2
308,2,10000,1200,Kolkata,Semi-Furnished,Bachelors/Family,2
309,3,12000,1100,Kolkata,Semi-Furnished,Family,2
310,3,30000,1100,Kolkata,Unfurnished,Bachelors,1
311,2,12000,950,Kolkata,Unfurnished,Bachelors/Family,1
312,3,7000,1200,Kolkata,Unfurnished,Bachelors/Family,1
313,1,7000,500,Kolkata,Unfurnished,Bachelors/Family,1
314,2,9500,570,Kolkata,Unfurnished,Bachelors/Family,1
315,3,15000,1200,Kolkata,Unfurnished,Bachelors/Family,3
316,2,12500,1250,Kolkata,Semi-Furnished,Bachelors/Family,2
317,3,14000,950,Kolkata,Semi-Furnished,Bachelors/Family,2
318,1,9500,600,Kolkata,Unfurnished,Bachelors/Family,1
319,2,7000,750,Kolkata,Unfurnished,Bachelors/Family,1
320,3,20000,1200,Kolkata,Unfurnished,Bachelors/Family,2
321,1,6500,400,Kolkata,Semi-Furnished,Bachelors/Family,1
322,1,7500,600,Kolkata,Furnished,Bachelors/Family,1
323,2,6500,700,Kolkata,Unfurnished,Bachelors/Family,1
324,2,9500,850,Kolkata,Semi-Furnished,Bachelors/Family,1
325,2,7500,650,Kolkata,Unfurnished,Bachelors/Family,1
326,2,10000,800,Kolkata,Semi-Furnished,Bachelors/Family,2
327,3,15000,830,Kolkata,Unfurnished,Bachelors/Family,2
328,2,7000,600,Kolkata,Unfurnished,Bachelors,1
329,2,6000,800,Kolkata,Unfurnished,Bachelors/Family,1
330,2,14000,1200,Kolkata,Semi-Furnished,Family,2
331,2,22000,1000,Kolkata,Furnished,Bachelors/Family,2
332,2,18000,750,Kolkata,Unfurnished,Bachelors/Family,2
333,2,10000,800,Kolkata,Unfurnished,Bachelors,2
334,2,6000,1200,Kolkata,Unfurnished,Bachelors/Family,2
335,2,10000,750,Kolkata,Unfurnished,Bachelors/Family,1
336,3,10000,1500,Kolkata,Semi-Furnished,Bachelors/Family,2
337,3,10000,800,Kolkata,Unfurnished,Bachelors,1
338,2,7000,450,Kolkata,Unfurnished,Bachelors/Family,2
339,4,10000,1200,Kolkata,Furnished,Bachelors/Family,2
340,2,6000,500,Kolkata,Semi-Furnished,Bachelors/Family,2
341,2,18000,900,Kolkata,Semi-Furnished,Bachelors/Family,2
342,2,8000,460,Kolkata,Unfurnished,Bachelors,1
343,2,8000,530,Kolkata,Semi-Furnished,Family,1
344,2,13000,650,Kolkata,Semi-Furnished,Bachelors/Family,2
345,2,20000,700,Kolkata,Semi-Furnished,Bachelors,2
346,2,6000,400,Kolkata,Unfurnished,Bachelors/Family,1
347,1,10000,400,Kolkata,Semi-Furnished,Bachelors,1
348,2,14000,700,Kolkata,Unfurnished,Bachelors,2
349,2,10000,850,Kolkata,Semi-Furnished,Bachelors,2
350,2,10500,558,Kolkata,Unfurnished,Bachelors/Family,2
351,3,14000,1600,Kolkata,Furnished,Bachelors/Family,2
352,3,40000,1600,Kolkata,Unfurnished,Bachelors,2
353,3,25000,1000,Kolkata,Unfurnished,Bachelors/Family,1
354,2,6000,425,Kolkata,Unfurnished,Bachelors/Family,1
355,3,7000,900,Kolkata,Semi-Furnished,Bachelors/Family,3
356,2,11000,600,Kolkata,Unfurnished,Bachelors/Family,1
357,2,10000,721,Kolkata,Furnished,Bachelors/Family,2
358,3,22000,1150,Kolkata,Unfurnished,Bachelors/Family,2
359,2,7500,675,Kolkata,Unfurnished,Bachelors/Family,1
360,2,45000,1320,Kolkata,Furnished,Bachelors/Family,2
361,2,12000,720,Kolkata,Unfurnished,Bachelors,2
362,3,18000,850,Kolkata,Semi-Furnished,Bachelors/Family,3
363,2,25000,1050,Kolkata,Unfurnished,Bachelors/Family,2
364,2,70000,750,Mumbai,Furnished,Bachelors/Family,2
365,1,45000,450,Mumbai,Furnished,Bachelors/Family,1
366,3,75000,1100,Mumbai,Unfurnished,Family,3
367,1,14000,640,Mumbai,Furnished,Bachelors/Family,1
368,1,60000,650,Mumbai,Unfurnished,Bachelors,1
369,1,22000,460,Mumbai,Unfurnished,Bachelors/Family,1
370,1,33000,480,Mumbai,Semi-Furnished,Bachelors,2
371,1,32000,500,Mumbai,Furnished,Bachelors,2
372,1,30000,490,Mumbai,Semi-Furnished,Bachelors,2
373,1,49000,620,Mumbai,Furnished,Bachelors/Family,1
374,2,28000,518,Mumbai,Semi-Furnished,Bachelors/Family,2
375,2,33500,700,Mumbai,Semi-Furnished,Bachelors/Family,2
376,2,85000,777,Mumbai,Semi-Furnished,Bachelors/Family,2
377,2,35000,650,Mumbai,Unfurnished,Family,2
378,1,21000,425,Mumbai,Unfurnished,Bachelors/Family,2
379,2,100000,850,Mumbai,Semi-Furnished,Bachelors,2
380,2,60000,888,Mumbai,Semi-Furnished,Bachelors/Family,2
381,2,8000,650,Mumbai,Semi-Furnished,Family,2
382,2,20000,700,Mumbai,Semi-Furnished,Family,2
383,1,14000,424,Mumbai,Semi-Furnished,Bachelors/Family,1
384,1,19411,400,Mumbai,Furnished,Bachelors/Family,2
385,1,23000,450,Mumbai,Furnished,Bachelors/Family,1
386,2,32000,586,Mumbai,Semi-Furnished,Bachelors/Family,1
387,2,68000,610,Mumbai,Furnished,Bachelors/Family,2
388,1,30000,488,Mumbai,Semi-Furnished,Bachelors/Family,2
389,3,110000,1200,Mumbai,Semi-Furnished,Bachelors/Family,3
390,2,44000,722,Mumbai,Semi-Furnished,Bachelors/Family,2
391,1,20000,450,Mumbai,Unfurnished,Bachelors/Family,1
392,1,25000,500,Mumbai,Semi-Furnished,Bachelors/Family,2
393,2,40000,680,Mumbai,Furnished,Bachelors,2
394,2,43000,1150,Mumbai,Unfurnished,Bachelors/Family,2
395,2,44000,830,Mumbai,Furnished,Bachelors,2
396,1,75000,550,Mumbai,Furnished,Bachelors/Family,1
397,1,32000,470,Mumbai,Semi-Furnished,Family,2
398,1,16000,410,Mumbai,Semi-Furnished,Family,2
399,2,65000,710,Mumbai,Semi-Furnished,Bachelors/Family,2
400,2,45000,750,Mumbai,Semi-Furnished,Bachelors/Family,2
401,2,57000,800,Mumbai,Unfurnished,Bachelors/Family,2
402,1,27000,435,Mumbai,Unfurnished,Bachelors/Family,2
403,1,57000,500,Mumbai,Semi-Furnished,Bachelors/Family,1
404,2,55000,800,Mumbai,Furnished,Bachelors/Family,2
405,1,40000,540,Mumbai,Semi-Furnished,Family,2
406,2,95000,1050,Mumbai,Unfurnished,Bachelors/Family,2
407,2,85000,700,Mumbai,Semi-Furnished,Bachelors/Family,2
408,2,80000,600,Mumbai,Furnished,Bachelors/Family,1
409,1,28000,550,Mumbai,Unfurnished,Bachelors,2
410,3,89000,932,Mumbai,Semi-Furnished,Bachelors/Family,3
411,1,28000,450,Mumbai,Unfurnished,Bachelors/Family,2
412,2,13000,600,Mumbai,Unfurnished,Bachelors/Family,2
413,1,24000,424,Mumbai,Unfurnished,Bachelors/Family,2
414,2,38000,560,Mumbai,Furnished,Bachelors,2
415,1,32000,450,Mumbai,Unfurnished,Bachelors,2
416,1,40000,600,Mumbai,Furnished,Family,2
417,2,45000,630,Mumbai,Unfurnished,Bachelors,2
418,3,75000,1150,Mumbai,Unfurnished,Bachelors/Family,3
419,2,47000,751,Mumbai,Semi-Furnished,Family,2
420,2,14000,570,Mumbai,Furnished,Family,2
421,2,55000,696,Mumbai,Semi-Furnished,Bachelors/Family,2
422,3,70000,1150,Mumbai,Unfurnished,Bachelors/Family,3
423,3,62000,950,Mumbai,Furnished,Bachelors/Family,3
424,2,42000,750,Mumbai,Unfurnished,Bachelors,2
425,3,20000,737,Mumbai,Semi-Furnished,Bachelors,3
426,2,41000,750,Mumbai,Unfurnished,Bachelors,2
427,2,65000,760,Mumbai,Semi-Furnished,Bachelors/Family,2
428,2,50000,750,Mumbai,Semi-Furnished,Bachelors/Family,2
